FinalWgt,CR1,CR2,MVR3,MVR4,CR5,CR6,CR7,CR8,CR9,CR10,SR1,SR2,SR3,SR5,SR7,SR8,SR10,SR12,BR2,BR4,BR5,BR12,CR11,CR12,OR9,CR13,CR14,SLR1,SLR3,SLR5,SLR6,SLR7,SLR9,MVR34,SLR12,SLR14,SLR15,SLR17,ELR1,ELR3,CR15,CR16,CR17,CR18,CR19,OR18,CR20,CR21,CR22,CR23,CR24,CR25,MVR53,CR27,CR28,MVR56,MVR20,CR30,CR31,OR26,CR32,CR33,CR34,OR35,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,Stratum,PSU
4.090804672,5,2,4,6,1,6,1,1,1,2,2,1,1,1,4,1,2,4,1,1,1,4,3,7,5,1,1,6,1,3,3,3,2,3,3,3,4,3,1,3,2,3,3,6,5,2,5,5,1,4,1,1,1,1,1,7,1,1,3,2,2,1,2,2,2,3,2,2,3,4,4,1,2,201901004,41
4.090804672,6,2,4,3,2,1,1,1,2,2,2,1,1,1,3,1,3,4,1,1,1,4,1,1,1,1,2,3,1,1,2,2,6,1,3,3,3,4,2,1,1,1,1,1,1,1,1,5,1,4,1,1,1,1,1,7,1,1,3,2,3,1,2,2,2,2,2,1,3,2,4,3,4,201901004,41
4.090804672,6,2,4,3,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,3,1,1,1,1,1,2,1,1,4,4,5,2,1,4,3,3,2,1,1,1,1,1,4,3,4,4,1,4,1,1,1,1,1,7,1,2,3,3,3,2,2,1,2,2,2,2,2,1,4,1,3,201901004,41
4.090804672,6,2,4,5,2,1,1,1,2,2,2,1,1,1,1,1,2,4,1,1,1,4,1,1,1,1,2,2,1,3,4,4,4,1,3,4,3,1,1,1,1,1,1,1,1,1,1,5,2,4,1,1,1,1,1,7,1,1,1,3,1,1,2,1,2,2,2,2,4,4,4,2,4,201901004,41
4.090804672,6,2,4,6,2,1,1,1,2,2,2,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,3,3,5,2,2,3,3,4,2,1,1,1,1,1,5,2,5,5,1,4,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,3,2,2,2,1,2,3,4,201901004,41
4.343643673,5,1,4,3,1,6,,,2,2,1,6,1,2,4,2,2,3,1,1,1,3,1,1,5,1,2,6,1,1,2,2,5,1,3,2,4,4,1,2,2,3,3,3,1,3,3,3,1,4,1,1,7,1,1,8,1,1,2,2,2,1,2,3,2,2,1,2,2,2,3,3,4,201901004,41
4.343643673,5,1,4,4,1,5,2,2,1,2,1,6,1,2,3,1,1,3,1,1,1,4,3,3,8,1,1,5,4,2,4,4,4,2,1,2,2,1,1,7,3,4,3,3,2,3,5,5,2,4,1,2,5,3,2,5,6,1,2,3,1,1,2,3,3,2,2,2,4,3,,2,2,201901004,41
4.343643673,5,1,4,8,1,5,5,4,1,1,1,6,4,2,4,2,2,4,1,1,1,4,3,6,6,1,1,6,4,2,4,4,4,3,3,2,2,3,1,7,4,3,4,3,4,3,5,5,1,4,1,2,2,3,2,7,6,1,2,2,1,2,1,1,2,2,1,1,2,4,4,1,2,201901004,41
4.343643673,6,1,4,1,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,4,1,1,1,2,2,1,1,1,1,1,1,1,3,1,4,5,2,1,1,1,1,1,1,4,1,1,2,4,1,1,1,1,1,8,1,1,2,2,3,2,2,2,3,2,2,2,1,1,4,3,5,201901004,41
4.343643673,6,1,4,2,2,1,1,1,1,2,1,6,1,2,3,1,3,2,1,1,1,2,2,2,2,1,2,5,1,2,2,2,4,1,3,2,3,4,1,3,2,3,3,6,1,3,1,2,2,3,1,1,1,1,1,8,1,1,3,2,3,1,2,2,3,3,2,1,,2,2,3,4,201901004,41
4.343643673,6,1,4,3,1,6,2,2,2,2,1,1,1,3,4,1,3,4,1,1,2,4,1,2,7,1,1,2,2,2,3,3,4,3,3,4,3,4,,,,,,,,,3,3,,3,,,6,,,6,7,,,,,,,,,,,,,,,,,201901004,41
4.343643673,6,1,4,6,1,6,1,1,1,2,1,6,1,2,3,6,1,3,1,1,1,3,2,1,7,1,2,4,1,1,2,2,4,1,3,2,2,4,1,3,2,2,2,4,5,2,4,5,2,3,1,1,1,1,1,6,1,1,2,2,1,1,2,1,2,2,2,1,2,2,3,1,4,201901004,41
4.343643673,6,1,4,6,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,4,1,1,1,1,1,4,2,2,4,4,2,2,3,3,2,3,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,2,1,3,3,2,3,3,3,3,2,2,1,1,4,2,5,201901004,41
4.343643673,6,1,4,8,1,6,2,2,1,2,1,6,1,4,3,1,2,3,1,1,1,3,2,2,2,1,1,4,2,2,4,4,6,4,3,4,3,1,1,5,4,4,3,6,1,4,1,5,1,3,1,1,7,1,1,5,6,2,3,3,1,1,2,1,2,3,2,2,3,3,3,1,1,201901004,41
6.545287475,5,2,4,3,2,1,1,1,2,2,2,1,1,1,4,1,3,2,1,1,1,2,1,1,1,1,2,5,1,2,2,3,3,1,3,1,2,4,1,1,1,1,1,1,1,4,5,5,1,4,1,1,1,1,1,6,1,2,3,3,3,2,2,3,1,2,2,2,2,1,2,3,4,201901004,42
6.545287475,5,2,4,6,2,1,1,1,2,2,2,1,1,3,4,1,3,4,1,1,3,4,1,1,1,2,2,1,1,1,,3,1,1,3,1,2,4,2,1,1,1,1,1,1,4,1,1,2,4,2,2,1,1,1,8,1,2,2,2,3,3,3,3,3,3,,2,1,1,3,3,4,201901004,42
6.545287475,6,2,4,1,2,1,1,1,2,2,2,1,1,1,3,1,3,4,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,3,1,2,4,1,1,1,1,1,1,1,1,2,5,1,3,1,1,1,1,1,8,1,1,3,3,3,1,2,1,1,2,2,2,1,1,2,3,4,201901004,42
6.949829878,5,1,4,1,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,4,1,1,1,2,2,1,1,1,1,1,1,1,3,1,4,5,2,1,1,1,1,1,1,4,1,1,2,4,1,1,1,1,1,8,1,2,3,3,3,3,3,1,2,3,2,2,1,1,4,3,5,201901004,42
6.949829878,5,1,4,5,2,1,1,1,2,2,2,1,1,1,3,1,1,4,1,1,1,4,1,1,1,1,1,2,6,4,4,4,6,2,2,4,4,2,1,7,2,2,2,4,1,4,2,2,1,2,1,1,1,1,3,5,1,1,2,2,3,2,2,2,3,3,2,2,1,1,4,1,5,201901004,42
6.949829878,6,1,4,5,1,4,5,5,1,1,1,5,2,4,4,5,1,3,5,4,4,4,3,2,7,1,1,2,5,3,4,4,3,3,1,4,4,1,1,7,4,3,3,3,5,2,5,5,1,4,1,2,5,3,2,5,3,2,1,3,1,1,3,3,2,1,1,2,4,4,4,1,1,201901004,42
6.949829878,6,1,4,6,1,6,2,2,1,1,1,5,2,4,3,2,3,2,1,1,1,3,2,,3,1,1,3,2,7,4,4,4,4,3,3,3,1,1,3,4,4,,4,1,,5,5,1,3,2,1,,3,,7,,2,1,2,1,2,2,1,2,2,2,2,3,2,3,3,1,201901004,42
6.949829878,6,1,4,7,2,1,1,1,2,2,2,1,1,1,3,1,1,4,1,1,1,4,1,1,1,2,2,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,3,3,5,1,4,2,1,1,1,1,7,1,1,1,2,1,2,2,1,2,3,2,2,1,1,4,1,4,201901004,42
4.579555229,7,1,5,2,1,6,1,1,1,2,1,6,1,2,4,6,1,3,1,1,1,3,1,1,1,1,1,6,1,1,1,1,5,1,1,1,3,4,1,1,2,2,3,5,1,2,2,3,1,4,,2,1,1,1,7,1,1,1,2,1,1,2,2,3,2,2,2,1,2,3,3,4,201901005,43
4.579555229,7,1,5,6,2,1,1,1,2,2,2,1,1,1,3,1,2,2,1,1,1,2,1,1,1,1,2,7,1,2,2,3,4,4,3,2,2,3,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,2,1,1,1,1,3,5,201901005,43
4.579555229,7,1,5,7,1,2,7,6,1,1,1,7,3,4,4,,1,4,7,2,2,2,3,2,,1,1,2,6,3,4,4,1,2,1,4,4,2,1,7,4,3,3,5,5,2,5,5,1,4,2,2,2,2,2,6,6,1,1,1,1,,3,2,1,3,1,,4,2,1,1,3,201901005,43
4.579555229,7,1,5,7,2,1,1,1,1,1,1,7,2,4,2,4,3,2,1,1,1,2,2,1,8,1,1,6,5,2,4,4,6,2,3,4,1,1,1,7,2,3,2,6,5,3,4,3,,3,,,4,,6,7,8,,,,,3,2,1,2,3,,1,1,1,1,1,4,201901005,43
4.618658178,6,2,5,3,2,1,1,1,1,2,2,1,1,1,4,1,3,3,1,1,1,4,1,1,1,1,1,5,2,2,4,4,6,4,3,4,4,3,1,4,1,4,3,,1,4,2,1,1,3,1,1,1,1,1,1,1,1,3,2,1,2,2,3,3,3,2,2,1,4,3,,5,201901005,43
4.618658178,6,2,5,3,2,1,1,1,2,2,2,1,1,1,4,1,3,2,1,1,1,2,1,1,1,1,2,4,1,1,2,2,6,1,3,2,2,4,1,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1,7,1,1,1,3,1,1,2,3,3,1,1,2,2,3,2,2,4,201901005,43
4.618658178,6,2,5,3,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,4,1,1,1,1,2,5,1,2,2,3,6,1,3,2,4,4,2,1,1,1,1,1,5,2,3,5,1,4,1,1,1,1,1,8,1,1,1,1,3,1,2,2,2,3,2,2,1,1,2,,,201901005,43
4.618658178,6,2,5,3,2,1,1,1,2,2,2,1,1,4,2,1,3,3,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,3,1,3,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,1,3,2,3,3,3,2,2,1,1,4,3,5,201901005,43
4.618658178,6,2,5,4,2,1,1,1,2,2,2,1,1,1,4,,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,,,1,1,5,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,1,1,8,1,1,2,1,1,2,2,1,1,3,2,2,1,1,1,3,5,201901005,43
4.618658178,6,2,5,5,2,1,1,1,2,2,2,1,1,1,4,1,3,2,1,1,1,2,1,1,1,1,1,4,4,2,4,4,4,2,3,3,4,3,1,1,1,4,1,1,1,4,3,5,2,4,1,1,1,1,1,8,1,1,2,2,3,3,3,2,2,2,2,2,3,3,1,2,3,201901005,43
4.618658178,6,2,5,6,2,1,1,1,,,2,1,1,1,3,1,1,4,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,3,1,2,5,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,8,1,1,1,2,3,1,2,3,3,2,2,2,2,1,4,3,5,201901005,43
4.618658178,6,2,5,6,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,4,1,1,1,1,1,5,3,2,4,4,2,4,3,4,4,3,1,1,1,1,1,1,5,2,3,2,1,4,1,1,1,1,1,8,1,2,3,3,3,1,2,3,3,3,2,2,1,1,4,3,3,201901005,43
4.618658178,6,2,5,7,1,6,7,7,1,1,1,6,7,4,1,,1,1,6,7,4,1,4,3,,1,1,2,7,3,4,4,5,,1,4,1,1,1,7,4,4,3,5,1,4,5,5,,,,,,,4,,,,,,,,,3,,,,,3,,3,,,201901005,43
4.618658178,6,2,5,8,1,6,1,1,1,1,1,6,2,4,4,4,1,3,1,1,1,3,1,1,1,1,1,4,4,2,3,4,5,2,3,4,3,1,1,5,2,4,3,3,4,1,3,4,1,4,1,1,1,1,1,6,1,1,3,2,1,1,2,2,3,2,2,2,3,3,4,2,4,201901005,43
4.618658178,7,2,5,6,2,1,1,1,2,2,2,1,1,1,4,1,1,2,1,1,1,3,1,1,1,1,1,5,1,2,3,4,4,4,1,3,2,4,1,1,1,1,1,1,1,3,4,4,1,4,1,1,1,1,1,8,1,2,3,2,3,2,3,2,2,2,2,2,1,1,3,2,5,201901005,43
4.618658178,7,2,5,7,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,4,1,1,1,2,2,5,1,1,1,1,1,1,3,4,3,5,2,1,1,1,1,1,1,4,1,1,2,4,1,1,1,1,1,8,1,2,1,3,3,1,1,1,2,1,1,2,1,1,3,1,5,201901005,43
3.977670827,7,1,5,6,1,3,7,6,1,1,1,5,4,3,4,4,1,3,6,1,2,3,3,3,7,1,1,4,2,2,4,4,5,3,1,4,2,3,1,7,3,4,4,5,5,2,5,5,1,3,2,2,2,3,2,5,3,1,3,2,1,1,2,2,3,1,2,2,3,4,4,3,1,201901005,44
3.977670827,7,1,5,6,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,3,1,1,1,1,1,5,2,2,3,3,6,3,3,3,3,1,1,1,1,1,1,1,4,2,3,2,2,4,1,1,1,1,1,6,1,1,3,2,1,1,2,2,2,2,2,1,1,1,4,3,5,201901005,44
4.011634531,5,2,5,5,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,3,1,1,1,1,2,3,1,2,2,2,4,1,3,1,3,5,1,1,1,1,1,1,1,3,2,3,2,4,1,1,1,1,1,6,1,2,3,2,3,1,2,3,3,3,2,2,1,1,3,3,5,201901005,44
4.011634531,6,2,5,2,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,3,2,1,1,2,2,1,1,1,1,1,1,1,3,2,4,4,2,1,1,1,1,1,1,1,2,,2,4,1,1,1,1,1,5,1,2,1,3,3,1,2,1,1,2,2,2,2,1,3,1,4,201901005,44
4.011634531,6,2,5,5,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,4,1,1,1,1,2,4,1,1,2,2,2,1,3,1,3,4,1,1,1,1,1,1,2,4,1,2,2,4,1,1,1,1,1,2,1,2,1,3,3,1,3,3,3,3,2,2,1,1,4,2,5,201901005,44
4.011634531,6,2,5,6,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,3,1,1,1,2,2,4,1,6,2,3,3,2,1,3,3,3,1,1,1,1,1,1,5,3,5,5,1,4,1,1,1,1,1,6,1,1,1,2,1,1,1,3,3,3,2,2,2,1,4,3,5,201901005,44
4.011634531,6,2,5,7,2,1,1,1,1,2,1,7,1,2,4,2,3,3,1,1,1,4,1,1,1,2,2,1,1,1,1,1,1,1,3,1,3,4,1,2,1,1,1,1,1,4,3,2,2,4,1,1,1,1,1,8,1,1,3,2,3,2,2,2,2,3,2,2,1,1,4,2,5,201901005,44
4.011634531,6,2,5,7,2,1,1,1,2,2,2,1,1,1,3,1,3,3,1,1,1,3,1,1,1,1,2,4,1,1,1,2,6,1,3,3,3,3,1,1,1,1,1,1,1,3,5,5,1,4,1,1,1,1,1,2,1,2,3,3,3,3,2,1,3,2,2,2,3,3,3,1,4,201901005,44
4.011634531,6,2,5,7,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,3,1,3,5,1,1,1,1,1,1,1,4,5,5,2,4,1,1,1,1,1,6,1,1,2,2,1,1,2,3,2,3,2,2,1,1,4,3,5,201901005,44
4.011634531,7,2,5,2,1,7,1,1,2,2,2,1,1,1,3,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,2,2,1,2,1,5,2,5,5,1,4,1,1,1,1,1,6,1,1,1,2,1,2,2,1,2,2,2,1,1,4,1,1,4,201901005,44
4.011634531,7,2,5,2,2,1,1,1,2,2,2,1,1,1,4,1,2,4,1,1,1,4,1,1,1,1,2,4,1,2,2,2,4,1,2,1,3,5,1,1,1,1,1,1,1,1,2,5,2,4,1,1,1,1,1,6,1,1,2,2,2,1,2,3,3,2,2,1,1,1,4,2,5,201901005,44
4.011634531,7,2,5,5,2,1,1,1,1,2,1,6,1,2,4,1,3,3,1,1,1,3,2,1,1,1,2,1,1,1,1,1,1,1,3,1,4,5,2,1,1,1,1,1,1,3,1,2,2,,1,1,1,1,1,7,1,1,3,3,3,1,2,3,3,3,2,2,1,1,4,2,5,201901005,44
4.011634531,7,2,5,5,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,2,1,1,1,1,1,4,2,2,2,4,6,2,3,3,3,3,1,1,1,1,1,1,2,2,2,5,,1,1,1,1,1,1,8,1,2,1,3,1,1,2,1,2,2,2,2,1,1,3,3,5,201901005,44
4.011634531,7,2,5,6,2,1,1,1,2,2,2,1,1,1,4,1,1,3,1,1,1,3,1,1,1,1,2,2,1,1,2,2,6,1,3,1,3,5,1,1,1,1,1,1,1,4,2,2,2,4,1,1,1,1,1,7,1,1,1,2,2,1,2,1,3,3,2,2,2,1,3,2,5,201901005,44
3.996702745,6,1,5,4,2,1,1,1,2,2,2,1,1,1,3,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,3,1,1,1,4,1,1,1,1,1,8,1,2,1,2,1,2,2,2,2,3,2,2,1,1,4,3,5,201901005,45
3.996702745,6,1,5,5,2,1,1,1,2,2,2,1,1,1,2,1,3,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,3,2,2,3,1,1,1,1,1,1,1,4,1,1,2,2,1,1,1,1,1,2,1,1,1,2,3,1,2,1,1,2,2,2,2,3,2,2,3,201901005,45
3.996702745,6,1,5,6,1,1,,,2,2,1,7,1,2,1,1,1,3,1,1,2,2,1,1,1,1,1,2,2,1,1,3,1,3,2,4,1,1,1,7,2,3,3,3,1,4,5,5,1,2,1,1,4,3,2,1,4,1,2,1,1,1,2,2,2,1,2,,4,4,1,3,3,201901005,45
3.996702745,6,1,5,6,2,1,1,1,1,2,1,6,1,4,2,4,3,4,1,1,1,4,1,1,1,2,2,1,1,1,1,1,1,1,3,1,4,4,1,7,1,1,1,1,1,1,5,5,2,1,2,2,1,1,1,7,1,1,2,2,3,1,2,3,3,2,1,2,2,2,2,1,4,201901005,45
3.996702745,6,1,5,6,2,1,1,1,2,2,2,1,1,1,3,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,1,4,2,2,2,6,1,4,5,5,2,4,1,1,1,1,1,6,1,1,2,1,3,1,2,3,3,2,2,2,1,1,3,1,5,201901005,45
3.996702745,6,1,5,8,1,6,1,1,1,2,2,1,1,1,3,1,3,4,1,1,1,4,1,1,1,1,1,4,3,2,1,4,6,3,3,4,1,1,1,3,2,4,,1,1,4,1,5,1,2,1,1,1,3,1,4,1,1,2,1,1,3,2,2,1,1,1,2,2,1,1,2,5,201901005,45
3.996702745,6,1,5,8,1,7,1,1,1,1,1,7,5,4,3,4,1,1,7,1,2,1,2,2,1,1,,7,1,1,,3,3,1,1,4,1,4,1,7,4,4,3,1,1,1,1,5,1,2,1,1,1,3,1,4,1,1,2,1,1,1,2,1,2,3,2,1,4,4,1,2,5,201901005,45
3.996702745,7,1,5,6,2,1,1,1,2,2,2,1,1,1,3,1,1,3,1,1,1,3,1,1,1,1,1,2,4,2,3,4,4,2,1,3,2,3,2,1,1,1,1,1,1,2,4,4,1,3,1,1,1,1,1,6,1,1,3,2,1,2,2,3,3,1,2,2,1,1,3,1,4,201901005,45
3.996702745,7,1,5,6,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,3,1,1,1,1,2,1,1,2,2,2,2,1,1,1,3,3,1,1,1,1,1,1,1,1,2,2,1,3,,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,201901005,45
3.996702745,7,1,5,7,1,6,2,2,1,1,1,6,2,3,2,5,2,2,1,1,1,2,1,2,1,1,1,1,4,2,1,3,2,1,3,1,1,1,1,2,,3,,2,5,1,4,,1,2,1,1,1,1,2,2,1,1,,,1,3,,2,,1,1,,4,1,3,3,1,201901005,45
3.996702745,7,1,5,7,1,7,2,2,1,1,1,7,5,3,4,3,2,3,1,1,1,4,1,1,8,1,1,5,7,7,3,3,5,2,3,3,3,4,1,7,3,3,3,3,3,1,3,4,1,4,1,1,5,1,1,7,1,1,1,1,2,1,2,2,2,2,2,1,2,2,3,3,4,201901005,45
3.996702745,7,1,5,7,1,7,3,2,1,1,1,7,2,4,3,6,1,1,1,1,1,1,2,2,5,,,2,1,1,2,2,1,1,3,1,1,5,1,6,4,4,3,6,3,3,3,5,2,,,2,2,3,1,6,6,1,2,2,1,1,2,3,3,1,2,2,1,3,1,1,1,201901005,45
4.030828955,6,2,5,2,2,,1,1,1,2,2,1,1,1,4,1,2,4,1,1,1,4,1,1,1,1,2,5,1,1,1,1,1,1,2,1,4,5,2,1,1,1,1,1,1,2,5,1,2,4,1,1,1,1,1,8,1,1,1,1,2,1,2,1,1,3,2,2,1,1,4,1,5,201901005,45
4.030828955,6,2,5,3,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,3,2,1,1,1,2,6,1,2,2,3,6,1,3,2,4,4,2,1,1,1,1,1,5,4,2,5,2,4,1,1,1,1,1,8,1,2,3,3,3,1,2,1,1,3,2,2,1,1,4,3,5,201901005,45
4.030828955,6,2,5,5,2,1,1,1,1,2,1,6,1,4,4,1,3,3,1,1,1,3,1,3,5,1,2,5,1,1,2,3,6,1,3,3,3,3,1,4,4,4,3,6,1,2,5,5,2,4,1,1,1,1,1,2,1,2,3,3,3,1,2,3,3,3,,2,1,1,1,1,4,201901005,45
4.030828955,6,2,5,5,2,1,1,1,2,2,2,1,1,1,3,1,1,4,1,1,1,4,1,1,1,2,2,1,1,1,1,1,1,1,1,1,4,4,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,7,1,1,2,1,1,1,2,2,3,2,2,1,2,1,2,1,2,201901005,45
4.030828955,7,2,5,1,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,3,1,1,1,1,2,3,1,2,2,2,6,1,1,1,2,5,2,1,1,1,1,1,1,4,5,5,1,4,1,1,1,1,1,7,1,1,3,1,2,1,2,3,3,3,2,2,1,1,3,3,5,201901005,45
4.030828955,7,2,5,1,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,3,1,3,5,2,1,1,1,1,1,3,3,3,3,1,4,1,1,1,1,1,8,1,1,1,,2,3,2,2,1,3,2,2,1,1,3,1,5,201901005,45
4.030828955,7,2,5,1,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,4,1,1,1,1,2,3,1,2,2,2,6,1,3,2,3,5,1,1,1,1,1,1,1,4,1,2,1,4,1,1,1,1,1,8,1,2,1,3,3,1,1,1,1,3,2,2,1,1,4,1,5,201901005,45
4.030828955,7,2,5,4,1,6,1,1,2,2,2,1,1,1,3,1,3,3,1,1,1,3,1,1,1,1,1,2,4,2,4,3,4,2,1,4,4,2,1,1,1,1,1,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,2,3,3,2,3,2,2,2,2,2,1,1,1,1,5,201901005,45
4.030828955,7,2,5,5,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,2,1,1,1,2,2,3,1,1,1,1,1,1,3,1,4,4,2,1,1,1,1,1,5,2,5,5,1,4,1,1,1,1,1,3,1,1,2,2,3,1,2,3,2,3,2,2,2,2,2,1,5,201901005,45
4.828935486,6,1,6,6,1,3,5,3,1,1,1,3,4,3,4,6,1,1,3,1,2,1,2,2,8,1,1,2,3,2,4,3,6,2,1,4,1,1,1,7,4,4,3,6,1,4,5,5,2,4,2,2,2,3,1,5,8,1,2,1,1,1,2,2,2,3,1,1,4,4,1,3,3,201901005,45
3.695501958,6,1,5,4,2,1,1,1,2,2,2,1,1,1,4,1,1,4,1,1,1,3,1,1,1,1,2,4,1,2,4,4,6,1,,3,3,4,,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,6,1,1,1,2,1,1,1,3,3,3,2,2,1,2,4,3,5,201901005,46
3.695501958,6,1,5,5,2,1,1,1,2,2,2,1,1,1,3,1,3,2,1,1,1,2,1,1,1,1,2,3,2,2,4,4,3,2,3,3,2,1,1,6,4,4,3,5,1,4,1,1,2,3,1,2,1,1,1,6,1,1,2,2,3,2,2,3,3,2,2,2,1,2,2,2,4,201901005,46
3.695501958,6,1,5,5,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,4,1,1,1,1,1,4,3,2,4,4,6,4,3,3,1,1,2,1,1,1,1,1,5,3,5,5,2,4,1,1,1,1,1,5,1,1,2,2,3,1,2,2,2,3,2,2,1,1,4,1,5,201901005,46
3.695501958,6,1,5,5,2,1,1,1,2,2,2,1,1,1,4,1,3,4,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,3,1,4,5,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,3,2,3,2,2,1,1,3,2,2,1,1,4,2,5,201901005,46
3.695501958,7,1,5,3,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,3,1,1,1,1,1,2,5,2,2,3,6,2,3,2,2,4,2,1,1,1,1,1,1,3,1,2,2,4,1,1,1,1,1,6,1,2,3,3,3,2,2,3,3,2,2,2,2,2,3,3,4,201901005,46
3.727056338,6,2,5,1,2,1,1,1,2,2,2,1,1,1,4,1,3,3,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,3,1,2,5,2,1,1,1,1,1,1,4,1,1,2,3,1,1,1,1,1,8,1,2,1,3,3,3,3,3,3,3,2,2,1,1,3,3,5,201901005,46
3.727056338,6,2,5,2,2,1,1,1,2,2,2,1,1,1,3,1,3,3,1,1,1,4,1,1,1,1,1,4,1,2,3,4,2,3,3,3,4,4,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,2,5,201901005,46
3.727056338,6,2,5,3,1,6,3,3,1,2,1,6,1,2,3,1,1,1,1,1,1,3,2,2,5,1,1,5,3,5,4,4,4,4,1,4,3,3,1,6,4,4,3,5,4,3,5,5,2,3,1,1,5,3,1,6,6,1,3,3,1,1,2,2,2,3,2,2,4,4,3,1,3,201901005,46
3.727056338,6,2,5,3,2,1,1,1,2,2,2,1,1,1,2,1,1,4,1,1,1,3,1,1,1,,,1,1,1,1,1,1,1,1,3,2,4,1,4,2,1,1,1,5,3,5,5,1,3,2,1,1,1,1,5,1,1,3,2,1,3,2,2,1,1,2,2,3,2,4,1,2,201901005,46
3.727056338,6,2,5,3,2,1,1,1,2,2,2,1,1,1,3,1,3,3,1,1,1,4,1,1,1,1,2,4,1,2,3,3,4,1,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,2,1,3,3,2,3,3,3,2,2,2,1,1,4,1,5,201901005,46
3.727056338,6,2,5,4,2,1,1,1,2,2,1,6,1,2,2,1,3,1,1,1,1,2,1,1,1,1,,5,2,2,4,3,4,2,1,1,3,3,2,1,1,1,1,1,4,2,1,1,2,4,1,1,1,1,1,1,1,1,2,2,3,1,2,3,3,3,2,2,1,1,3,2,5,201901005,46
3.727056338,6,2,5,4,2,1,1,1,2,2,2,1,1,1,3,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,,1,2,2,2,3,2,1,1,1,1,2,2,4,201901005,46
3.727056338,6,2,5,4,2,1,1,1,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,4,5,2,2,2,5,1,1,1,1,5,1,1,1,1,1,1,3,2,5,5,1,4,1,1,1,1,1,5,1,1,1,2,1,1,3,3,3,3,2,2,1,1,1,3,5,201901005,46
